SL1344_v1	EEP	MEP	LEP	ESP	LSP	25C	NaCl	Bile	Low_Fe	NoO2S	NoO2	Oxygen	NonSPI2	InSPI2	Peroxide	NO	Macrophage
SL1344_0009	269.80	57.02	17.12	4.32	2.42	78.66	14.79	22.13	15.36	9.34	6.41	7.53	14.40	4.80	2.88	2.64	21.62
SL1344_0864	100.86	59.68	68.50	36.43	2.42	52.78	23.83	63.81	37.97	18.87	32.02	66.73	102.41	88.79	8.85	27.34	83.81
SL1344_0865	80.38	42.68	63.91	23.18	1.82	46.73	22.69	54.72	36.25	16.28	24.98	70.09	90.50	69.79	5.74	19.73	64.99
SL1344_0866	97.21	50.90	78.08	39.83	4.51	41.99	24.47	76.08	40.89	37.27	37.30	76.62	103.82	104.17	13.36	32.19	108.66
SL1344_0867	253.40	101.69	121.23	56.22	18.70	93.06	63.79	112.06	60.19	54.36	46.21	119.32	187.93	150.86	14.48	63.98	100.56
SL1344_0868	24.44	39.44	38.00	42.90	30.67	30.34	57.99	65.59	41.39	45.00	42.74	69.20	40.34	44.30	25.95	29.99	44.68
SL1344_0869	36.59	58.18	49.89	46.96	14.63	43.23	29.97	68.65	45.34	49.51	53.05	54.37	50.47	102.24	47.21	53.94	407.45
SL1344_0870	21.82	26.07	26.24	27.48	3.60	21.32	12.65	37.52	35.15	41.15	52.14	39.06	35.66	66.49	16.62	28.93	194.76
SL1344_0871	31.82	32.61	30.59	13.17	1.41	30.03	12.80	24.50	29.27	14.58	15.68	42.98	15.04	11.80	1.35	9.10	25.10
SL1344_0872	6.64	13.38	11.45	12.01	0.74	5.11	11.34	23.17	19.69	18.25	17.02	20.16	22.80	14.63	2.63	12.03	21.58
SL1344_0873	17.48	29.39	33.54	56.75	39.32	18.09	58.69	52.92	39.02	74.74	62.97	53.25	60.40	66.85	35.78	83.85	52.49
SL1344_0086	11.87	5.37	19.91	25.16	68.39	10.17	27.25	20.38	15.05	13.81	18.64	24.11	21.30	24.19	16.97	45.07	16.45
SL1344_0874	1.79	2.32	6.76	12.98	12.70	2.33	24.07	4.48	3.60	4.34	10.92	18.27	6.34	14.67	4.09	14.08	20.86
SL1344_0875	14.70	11.73	17.09	14.36	7.04	11.68	19.43	11.48	14.23	11.03	9.66	23.44	19.81	27.07	6.09	64.99	30.11
SL1344_0876	8.27	6.55	6.56	3.39	2.97	7.87	3.38	6.33	8.29	5.58	5.53	8.05	8.13	4.27	0.62	11.63	19.47
SL1344_0877	19.98	22.08	25.23	16.73	3.85	16.26	45.64	47.64	34.47	26.39	21.82	34.02	53.29	35.16	5.31	36.41	39.19
SL1344_0878	10.74	12.59	20.48	22.17	3.15	9.09	13.16	19.40	13.65	21.74	16.97	25.57	15.15	11.14	3.67	11.09	21.17
