SL1344_v1	EEP	MEP	LEP	ESP	LSP	25C	NaCl	Bile	Low_Fe	NoO2S	NoO2	Oxygen	NonSPI2	InSPI2	Peroxide	NO	Macrophage
SL1344_0009	166.18	89.72	11.86	7.82	7.66	65.38	10.34	49.90	13.98	16.23	3.25	3.38	14.20	2.94	2.45	3.49	19.91
SL1344_0864	56.42	47.89	56.40	46.67	7.03	44.60	20.03	80.29	26.25	13.46	31.71	62.70	84.95	74.95	9.75	28.01	58.46
SL1344_0865	53.26	51.58	58.31	51.73	8.33	45.21	19.35	80.78	29.39	16.38	37.01	59.01	87.40	74.01	8.05	29.55	32.46
SL1344_0866	62.80	53.64	62.23	85.47	6.34	40.87	20.59	111.71	36.55	33.28	49.48	69.93	97.21	80.96	17.59	38.30	49.07
SL1344_0867	112.45	98.25	105.24	97.82	21.59	83.38	61.04	170.16	54.33	45.23	68.58	98.44	149.59	136.58	14.07	57.03	60.60
SL1344_0868	28.30	34.22	45.50	88.52	52.61	16.34	62.17	53.73	39.85	79.49	68.64	48.75	28.90	27.29	32.43	63.09	29.96
SL1344_0869	40.35	39.46	50.40	82.72	26.47	26.31	41.42	73.75	42.28	69.57	74.23	67.05	48.26	138.48	82.61	131.13	803.15
SL1344_0870	19.80	18.96	27.37	39.11	8.63	16.86	11.37	38.15	27.60	56.74	50.72	40.48	30.33	65.84	30.73	62.70	262.06
SL1344_0871	21.87	21.50	26.22	18.93	3.33	19.58	12.74	28.23	11.79	13.50	22.86	38.57	9.07	5.87	1.90	6.17	9.27
SL1344_0872	6.14	6.76	12.82	16.22	3.07	3.65	8.25	14.33	15.16	9.55	21.30	22.93	14.36	10.76	4.47	13.59	11.55
SL1344_0873	12.37	15.04	30.40	44.38	31.02	8.45	37.07	28.57	37.01	41.62	47.94	42.42	35.52	38.67	25.06	70.05	33.54
SL1344_0086	8.24	9.08	15.26	25.18	49.87	8.75	21.86	10.36	10.56	12.54	18.25	13.72	12.58	22.14	17.02	51.99	13.51
SL1344_0874	2.43	1.36	5.63	14.75	13.18	1.35	18.36	2.32	1.56	1.59	12.49	8.81	3.96	6.66	4.26	22.68	14.21
SL1344_0875	14.68	9.91	16.03	16.92	11.84	13.44	9.60	14.25	6.07	17.91	14.94	17.88	20.78	21.42	7.14	52.73	22.31
SL1344_0876	6.10	4.29	5.29	5.80	3.61	4.31	2.75	7.81	1.81	10.94	5.81	5.88	5.32	3.51	0.78	6.11	15.21
SL1344_0877	16.64	14.06	21.97	26.60	8.53	9.99	25.22	35.79	24.44	10.87	19.03	35.63	32.10	17.26	4.39	26.66	33.92
SL1344_0878	10.26	6.90	20.93	27.04	6.25	7.25	7.57	11.91	12.15	14.73	15.69	25.48	9.67	5.59	3.06	8.71	10.82
SL1344_0879	334.22	235.71	154.49	88.61	18.35	297.21	155.37	241.06	40.01	30.89	99.99	171.53	309.14	490.84	22.38	135.01	590.84
SL1344_0880	23.20	17.16	32.17	50.97	5.12	21.27	21.48	38.78	11.41	7.34	20.65	47.20	34.13	32.03	16.95	30.20	349.30
SL1344_0882	44.45	110.33	957.68	2418.69	155.02	15.93	384.33	361.75	913.11	458.02	217.91	259.65	276.36	90.03	98.52	162.88	331.51
SL1344_0883	93.90	94.28	139.22	149.24	66.99	75.39	337.10	218.63	244.18	554.78	231.81	188.94	163.40	168.42	1177.04	242.34	611.33
SL1344_0087	9.93	4.26	7.56	11.40	7.99	2.81	3.27	6.09	3.81	4.98	8.41	7.70	7.83	8.17	3.87	17.94	9.76
SL1344_0884	53.37	46.25	78.52	112.30	18.65	40.93	141.03	104.28	105.68	273.07	130.04	143.81	106.91	85.20	280.87	235.91	326.11
SL1344_ncRNA_58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SL1344_0885	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SL1344_0886	1.97	2.09	2.50	6.30	7.58	2.51	3.50	1.98	3.28	5.15	6.68	3.03	1.36	2.06	2.42	10.01	13.91
SL1344_0887	26.26	18.00	8.23	9.06	12.01	32.33	10.72	9.07	6.33	7.07	9.68	7.15	4.30	4.90	5.19	14.58	21.18
SL1344_0888	4.36	3.27	7.56	17.14	13.70	2.54	7.06	5.79	4.63	5.77	9.56	9.49	7.31	5.58	4.41	11.77	9.65
SL1344_0889	1.79	0.98	3.13	7.78	7.00	0.50	4.03	2.57	1.56	3.52	3.64	4.14	2.67	2.64	2.54	3.27	4.11
SL1344_0890	5.07	4.07	4.65	7.61	6.94	2.26	39.73	9.00	5.24	5.26	4.34	5.24	4.36	3.10	5.10	3.81	11.77
SL1344_0891	2114.03	1893.11	846.47	200.58	15.47	2138.46	233.44	1102.48	157.13	184.21	248.72	598.77	1267.34	1679.06	80.05	218.27	589.38
SL1344_0088	92.35	82.81	75.67	55.14	15.08	116.86	10.47	101.69	31.47	24.48	34.27	51.64	65.28	60.99	18.83	64.70	46.99
SL1344_0892	1035.46	921.78	443.36	130.78	22.69	1199.34	186.27	582.90	145.18	191.55	232.50	339.47	628.07	974.78	96.84	177.51	380.93
SL1344_0893	24.99	26.14	23.99	25.94	14.03	27.44	14.59	29.18	19.51	22.62	25.64	29.18	24.53	25.76	15.01	25.07	18.25
SL1344_0894	32.87	38.65	33.37	27.57	5.28	30.33	13.33	36.09	28.71	18.85	29.21	34.14	36.64	22.92	12.56	15.63	9.87
SL1344_0895	42.72	40.91	34.29	29.34	4.57	34.91	16.17	45.43	22.90	15.99	32.59	33.91	41.69	25.27	9.28	15.60	18.63
SL1344_0896	114.48	111.71	102.90	92.65	7.46	58.71	58.25	207.76	104.93	34.42	84.51	115.32	136.68	113.70	126.85	117.38	271.70
