Locus_tag	Gene_name	Gene_type	Location	EBSS_rep1	EBSS_rep2	WTM_rep1	WTM_rep2
SL1344_0001	thrL	CDS	chromosome	3914.372	4096.337	4543.141	3883.234
SL1344_0002	thrA	CDS	chromosome	63.155	67.534	65.892	66.008
SL1344_0003	thrB	CDS	chromosome	245.258	360.485	152.861	142.324
SL1344_0004	thrC	CDS	chromosome	184.793	276.333	123.191	120.480
SL1344_0005	yaaA	CDS	chromosome	53.975	56.185	45.636	49.471
SL1344_0006	yaaJ	CDS	chromosome	58.928	70.849	41.170	39.605
SL1344_0007	talB	CDS	chromosome	400.762	422.631	424.271	351.441
SL1344_0008	mog	CDS	chromosome	88.997	68.568	88.242	81.909
SL1344_0009	yaaH	CDS	chromosome	17.312	12.798	13.302	13.949
SL1344_0010	htgA	CDS	chromosome	2.436	1.825	1.090	1.421
SL1344_0011	yaaI	CDS	chromosome	5.821	2.713	4.109	4.569
SL1344_0012	dnaK	CDS	chromosome	499.961	416.808	582.503	564.044
SL1344_0013	dnaJ	CDS	chromosome	147.262	158.706	190.985	198.742
SL1344_0014	STM0014	CDS	chromosome	11.537	15.309	11.099	12.278
SL1344_0015	STM0015	CDS	chromosome	4.145	4.444	2.334	5.969
SL1344_0016	STM0016	CDS	chromosome	1.194	1.770	0.804	0.922
SL1344_0017	STM0017	CDS	chromosome	2.611	1.611	1.572	2.050
SL1344_0018	chiA	CDS	chromosome	8.205	7.513	5.143	5.101
SL1344_0019	STM0019	CDS	chromosome	3.211	3.649	3.224	3.406
SL1344_0020	STM0020	CDS	chromosome	2.193	1.450	1.713	2.032
SL1344_0021	bcfA	CDS	chromosome	3.559	2.917	3.658	2.803
SL1344_0022	bcfB	CDS	chromosome	1.153	1.116	1.485	0.782
SL1344_0023	bcfC	CDS	chromosome	1.923	1.754	1.807	1.935
SL1344_0024	bcfD	CDS	chromosome	3.815	3.092	3.768	2.739
SL1344_0025	bcfE	CDS	chromosome	2.619	2.948	2.065	2.296
SL1344_0026	bcfF	CDS	chromosome	2.346	4.135	2.560	2.473
SL1344_0027	bcfG	CDS	chromosome	2.960	2.066	2.722	3.111
SL1344_0028	bcfH	CDS	chromosome	7.949	8.547	6.488	6.368
SL1344_0029	SL1344_0029	CDS	chromosome	9.837	9.523	7.035	8.185
SL1344_0030	STM0029	CDS	chromosome	0.429	0.795	0.835	0.663
SL1344_0031	STM0030	CDS	chromosome	2.038	1.322	1.309	1.752
SL1344_0032	STM0031	CDS	chromosome	0.876	1.391	0.669	0.677
SL1344_0033	STM0032	CDS	chromosome	4.789	5.410	4.372	4.149
SL1344_0034	STM0033	CDS	chromosome	7.228	6.534	8.964	8.904
SL1344_0035	STM0034	CDS	chromosome	1.014	1.274	1.021	1.136
SL1344_0036	STM0035	CDS	chromosome	6.350	5.524	4.779	4.365
SL1344_0037	STM0036	CDS	chromosome	5.841	4.999	5.589	5.651
SL1344_0038	STM0037	CDS	chromosome	2.126	1.528	1.670	1.547
SL1344_0039	STM0038	CDS	chromosome	11.170	8.934	8.681	9.200
SL1344_0040	nhaA	CDS	chromosome	391.264	325.087	352.077	332.153
SL1344_0041	nhaR	CDS	chromosome	188.722	161.991	166.292	179.797
SL1344_0042	STM0041	CDS	chromosome	3.154	4.258	3.250	3.475
SL1344_0043	STM0042	CDS	chromosome	1.336	1.860	1.055	1.249
SL1344_0044	rpsT	CDS	chromosome	1686.526	1209.787	1323.318	1566.279
SL1344_0045	yaaY	CDS	chromosome	29.790	25.196	23.361	29.292
SL1344_0046	ribF	CDS	chromosome	103.221	105.931	111.178	126.021
SL1344_0047	ileS	CDS	chromosome	125.876	140.723	131.679	123.289
SL1344_0048	lspA	CDS	chromosome	174.294	199.510	190.562	199.947
SL1344_0049	fkpB	CDS	chromosome	159.008	156.143	147.653	127.437
SL1344_0050	ispH	CDS	chromosome	97.875	109.779	97.554	108.442
SL1344_0051	STM0050	CDS	chromosome	20.367	15.165	17.369	18.160
SL1344_0052	rihC	CDS	chromosome	29.499	34.068	28.487	27.349
SL1344_0053	citB2	CDS	chromosome	13.726	15.806	8.048	8.341
SL1344_0054	citA2	CDS	chromosome	10.759	12.318	8.698	8.474
SL1344_0055	STM0054	CDS	chromosome	0.900	1.106	0.739	0.833
SL1344_0056	STM0055	CDS	chromosome	0.845	0.969	0.471	0.479
SL1344_0057	oadG	CDS	chromosome	0.644	0.639	0.727	0.560
SL1344_0058	STM0057	CDS	chromosome	1.167	0.991	1.011	0.901
SL1344_0059	citC2	CDS	chromosome	1.735	1.806	1.038	1.354
SL1344_0060	citD2	CDS	chromosome	1.709	1.130	1.506	1.573
SL1344_0061	citE2	CDS	chromosome	1.688	1.410	1.126	1.252
SL1344_0062	citF2	CDS	chromosome	1.474	1.932	1.235	1.256
SL1344_0063	citX2	CDS	chromosome	2.590	2.314	2.310	1.919
SL1344_0064	citG2	CDS	chromosome	3.026	4.001	2.822	2.637
SL1344_0065	dapB	CDS	chromosome	123.320	140.622	119.117	127.657
SL1344_0066A	STM0065	CDS	chromosome	3.443	4.405	3.779	3.516
SL1344_0067	carA	CDS	chromosome	55.009	45.475	55.129	42.650
SL1344_0068	carB	CDS	chromosome	48.218	44.761	45.383	33.136
SL1344_0069	caiF	CDS	chromosome	39.427	38.455	33.890	35.497
SL1344_0070	caiE	CDS	chromosome	2.266	3.424	2.293	2.600
SL1344_0071	caiD	CDS	chromosome	1.918	1.690	1.263	1.785
SL1344_0072	caiC	CDS	chromosome	2.736	2.927	2.660	3.380
SL1344_0073	caiB	CDS	chromosome	6.168	5.263	5.803	5.115
SL1344_0074	caiA	CDS	chromosome	3.144	2.772	2.442	2.337
SL1344_0075	caiT	CDS	chromosome	0.433	0.438	0.301	0.265
SL1344_0076	fixA	CDS	chromosome	1.429	0.895	0.801	0.639
SL1344_0077	fixB	CDS	chromosome	0.472	0.624	0.598	0.523
SL1344_0078	fixC	CDS	chromosome	1.081	1.032	0.792	0.707
