Locus_tag	Gene_name	Gene_type	Location	EBSS_rep1	EBSS_rep2	WTM_rep1	WTM_rep2
SL1344_0001	thrL	CDS	chromosome	8812	6974	14726	11320
SL1344_0002	thrA	CDS	chromosome	4025	3255	6046.50	5447.50
SL1344_0003	thrB	CDS	chromosome	5902	6560.50	5296.50	4435
SL1344_0004	thrC	CDS	chromosome	6154	6959.50	5907	5195.50
SL1344_0005	yaaA	CDS	chromosome	1081	851	1316	1283
SL1344_0006	yaaJ	CDS	chromosome	2182	1984	2195	1899
SL1344_0007	talB	CDS	chromosome	9893	7890	15080	11234
SL1344_0008	mog	CDS	chromosome	1361	793	1943	1622
SL1344_0009	yaaH	CDS	chromosome	254	142	281	265
SL1344_0010	htgA	CDS	chromosome	45	25.50	29	34
SL1344_0011	yaaI	CDS	chromosome	61	21.50	62	62
SL1344_0012	dnaK	CDS	chromosome	24800	15636	41603.50	36230
SL1344_0013	dnaJ	CDS	chromosome	4344	3540.50	8111.75	7591.50
SL1344_0014	STM0014	CDS	chromosome	283	284	392	390
SL1344_0015	STM0015	CDS	chromosome	37	30	30	69
SL1344_0016	STM0016	CDS	chromosome	16.50	18.50	16	16.50
SL1344_0017	STM0017	CDS	chromosome	30	14	26	30.50
SL1344_0018	chiA	CDS	chromosome	400	277	361	322
SL1344_0019	STM0019	CDS	chromosome	249	214	360	342
SL1344_0020	STM0020	CDS	chromosome	40	20	45	48
SL1344_0021	bcfA	CDS	chromosome	50	31	74	51
SL1344_0022	bcfB	CDS	chromosome	20.50	15	38	18
SL1344_0023	bcfC	CDS	chromosome	130.50	90	176.50	170
SL1344_0024	bcfD	CDS	chromosome	99.50	61	141.50	92.50
SL1344_0025	bcfE	CDS	chromosome	37	31.50	42	42
SL1344_0026	bcfF	CDS	chromosome	31.50	42	49.50	43
SL1344_0027	bcfG	CDS	chromosome	54	28.50	71.50	73.50
SL1344_0028	bcfH	CDS	chromosome	174	141.50	204.50	180.50
SL1344_0029	SL1344_0029	CDS	chromosome	84	61.50	86.50	90.50
SL1344_0030	STM0029	CDS	chromosome	5	7	14	10
SL1344_0031	STM0030	CDS	chromosome	53	26	49	59
SL1344_0032	STM0031	CDS	chromosome	10	12	11	10
SL1344_0033	STM0032	CDS	chromosome	213	182	280	239
SL1344_0034	STM0033	CDS	chromosome	294	201	525	469
SL1344_0035	STM0034	CDS	chromosome	20	19	29	29
SL1344_0036	STM0035	CDS	chromosome	245.50	161.50	266	218.50
SL1344_0037	STM0036	CDS	chromosome	180	116.50	248	225.50
SL1344_0038	STM0037	CDS	chromosome	69	37.50	78	65
SL1344_0039	STM0038	CDS	chromosome	496	300	555	529
SL1344_0040	nhaA	CDS	chromosome	11815	7424	15308	12988
SL1344_0041	nhaR	CDS	chromosome	4395	2853	5576	5422
SL1344_0042	STM0041	CDS	chromosome	166.50	170	247	237.50
SL1344_0043	STM0042	CDS	chromosome	47.50	50	54	57.50
SL1344_0044	rpsT	CDS	chromosome	11521	6250	13016	13855
SL1344_0045	yaaY	CDS	chromosome	166.50	106.50	188	212
SL1344_0046	ribF	CDS	chromosome	2508	1946.50	3889.50	3965
SL1344_0047	ileS	CDS	chromosome	9234	7807	13908.50	11711.50
SL1344_0048	lspA	CDS	chromosome	2259.50	1956	3557	3356.50
SL1344_0049	fkpB	CDS	chromosome	1851.50	1375	2475.50	1921.50
SL1344_0050	ispH	CDS	chromosome	2408.50	2043	3456.50	3455.50
SL1344_0051	STM0050	CDS	chromosome	634	357	778.50	732
SL1344_0052	rihC	CDS	chromosome	703	614	977.50	844
SL1344_0053	citB2	CDS	chromosome	244	212.50	206	192
SL1344_0054	citA2	CDS	chromosome	451	390.50	525	460
SL1344_0055	STM0054	CDS	chromosome	30.33	28.17	35.83	36.33
SL1344_0056	STM0055	CDS	chromosome	38.83	33.67	31.17	28.50
SL1344_0057	oadG	CDS	chromosome	4	3	6.50	4.50
SL1344_0058	STM0057	CDS	chromosome	40.50	26	50.50	40.50
SL1344_0059	citC2	CDS	chromosome	47	37	40.50	47.50
SL1344_0060	citD2	CDS	chromosome	13	6.50	16.50	15.50
SL1344_0061	citE2	CDS	chromosome	38	24	36.50	36.50
SL1344_0062	citF2	CDS	chromosome	58	57.50	70	64
SL1344_0063	citX2	CDS	chromosome	37	25	47.50	35.50
SL1344_0064	citG2	CDS	chromosome	70	70	94	79
SL1344_0065	dapB	CDS	chromosome	2623	2262	3648	3516
SL1344_0066A	STM0065	CDS	chromosome	31	30	49	41
SL1344_0067	carA	CDS	chromosome	1635.50	1022.50	2360	1642
SL1344_0068	carB	CDS	chromosome	4027.50	2827.50	5458	3584
SL1344_0069	caiF	CDS	chromosome	404	298	500	471
SL1344_0070	caiE	CDS	chromosome	35	40	51	52
SL1344_0071	caiD	CDS	chromosome	39	26	37	47
SL1344_0072	caiC	CDS	chromosome	110	89	154	176
SL1344_0073	caiB	CDS	chromosome	203	131	275	218
SL1344_0074	caiA	CDS	chromosome	93	62	104	89.50
SL1344_0075	caiT	CDS	chromosome	17	13	17	13.50
SL1344_0076	fixA	CDS	chromosome	28.50	13.50	23	16.50
SL1344_0077	fixB	CDS	chromosome	11.50	11.50	21	16.50
SL1344_0078	fixC	CDS	chromosome	36	26	38	30.50
SL1344_0079	fixX	CDS	chromosome	11	13	19	21.50
SL1344_0080	yaaU	CDS	chromosome	246	163	307	234
SL1344_0081	STM0080	CDS	chromosome	116	63	146	138
SL1344_0082	STM0081	CDS	chromosome	4329	4353	4123	3035
SL1344_0083	STM0082	CDS	chromosome	3473.50	4196.50	1393.50	919.50
SL1344_0083A	SL1344_0083A	CDS	chromosome	855.75	1102.83	368	302.50
SL1344_0084	STM0084	CDS	chromosome	420	387	418	377
SL1344_0085	SL1344_0085	CDS	chromosome	5	3	5	12
SL1344_0086	yabF	CDS	chromosome	201	163	250.50	218
SL1344_0087	kefC	CDS	chromosome	611	506	824.50	678
SL1344_0088	folA	CDS	chromosome	1025	700	1416	1527
SL1344_0089	apaH	CDS	chromosome	2598.50	2247.50	2814	2506
SL1344_0090	apaG	CDS	chromosome	2043.50	1650.50	2349	2338
SL1344_0091	ksgA	CDS	chromosome	4744.50	4155	5004.50	5126.50
SL1344_0092	pdxAa	CDS	chromosome	4656.50	3677	6341	5948
SL1344_0093	surA	CDS	chromosome	7445	6385	9882.50	8833
SL1344_0094	imp	CDS	chromosome	10205	7888	13308	12021
SL1344_0095	djlA	CDS	chromosome	1961	1418	2845	2530
SL1344_0096	rluA	CDS	chromosome	384.50	296	636	595
SL1344_0097	hepA	CDS	chromosome	1160	873.50	1483	1325.50
SL1344_0098	polB	CDS	chromosome	1576	1174	2535	2234
SL1344_0099	STM0098	CDS	chromosome	202	154	314	269
SL1344_0099A	SL1344_0099A	CDS	chromosome	10.64	8.25	16.06	16.17
SL1344_0100	STM0100	CDS	chromosome	62	51	64	74
SL1344_0101	araD	CDS	chromosome	52.33	59	80.50	80.83
SL1344_0102	araA	CDS	chromosome	94	93.50	112	73.50
SL1344_0103	araB	CDS	chromosome	26	35.50	29	31.50
SL1344_0104	araC	CDS	chromosome	530	421	738	572
SL1344_0105	yabI	CDS	chromosome	954	811	1233	1003
SL1344_0106	thiQ	CDS	chromosome	171.50	102.50	208	197.50
SL1344_0107	thiP	CDS	chromosome	288.50	211.50	404.50	339.50
SL1344_0108	tbpA	CDS	chromosome	322	177	337.50	339
SL1344_0109	yabN	CDS	chromosome	282.50	203.50	485	406
SL1344_0109A	sgrT	CDS	chromosome	2079	1335	3706	3466.50
SL1344_0110	leuD	CDS	chromosome	758.50	729.50	1189.50	946.50
SL1344_0111	leuC	CDS	chromosome	1125.50	1076.50	1848.50	1488.50
SL1344_0112	leuB	CDS	chromosome	1481	1328	2340.50	1928
SL1344_0113	leuA	CDS	chromosome	1928	1619	3278.50	2934
SL1344_0114	leuL	CDS	chromosome	9949	9925	19704	20607
SL1344_0115	leuO	CDS	chromosome	104	87	126	129
SL1344_0116	ilvI	CDS	chromosome	1213	1183	1930	1726.50
SL1344_0117	ilvH	CDS	chromosome	755	669	1004	1008.50
SL1344_0118	fruR	CDS	chromosome	1107	841	1338	1050
SL1344_0119	mraZ	CDS	chromosome	6171.50	4527.50	9236	8233.50
SL1344_0120	mraW	CDS	chromosome	6662	4976	11516	10609
SL1344_0121	ftsL	CDS	chromosome	2957	2158	5065	4704.50
SL1344_0122	ftsI	CDS	chromosome	8646.50	6094.50	15674	17094
SL1344_0123	murE	CDS	chromosome	4962.50	3815	7933	6846.50
SL1344_0124	murF	CDS	chromosome	3829.50	2772	6371	5112.50
SL1344_0125	mraY	CDS	chromosome	4082.50	3174.50	6456.50	5414.50
