SLP1_0104	PSLT001
SLP1_0103	PSLT002
SLP1_0102	PSLT003
SLP1_0101	PSLT004
SLP1_0100	PSLT005
SLP1_0099	PSLT006
SLP1_0098	PSLT007
SLP1_0097	PSLT008
SLP1_0096	PSLT009
SLP1_0095	PSLT010
SLP1_0094	PSLT011
SLP1_0093	PSLT012
SLP1_0092	PSLT013
SLP1_0091	PSLT014
SLP1_0090	PSLT015
SLP1_0089	PSLT016
SLP1_0088	PSLT017
SLP1_0087	PSLT018
SLP1_0086	PSLT019
SLP1_0085	PSLT020
SLP1_0084	PSLT023
SLP1_0082	PSLT025
SLP1_0081	PSLT026
SLP1_0080	PSLT027
SLP1_0079	PSLT028
SLP1_0078	PSLT029
SLP1_0077	PSLT030
SLP1_0076	PSLT031
SLP1_0075	PSLT032
SLP1_0074	PSLT033
SLP1_0073	PSLT034
SLP1_0072	PSLT035
SLP1_0071	PSLT036
SLP1_0070	PSLT037
SLP1_0068	PSLT039
SLP1_0067	PSLT040
SLP1_0066	PSLT041
SLP1_0065	PSLT042
SLP1_0064	PSLT043
SLP1_0063	PSLT044
SLP1_0062	PSLT045
SLP1_0061	PSLT046
SLP1_0060	PSLT047
SLP1_0059	PSLT048
SLP1_0058	PSLT049
SLP1_0056	PSLT051
SLP1_0055	PSLT052
SLP1_0054	PSLT053
SLP1_0053	PSLT054
SLP1_0052	PSLT055
SLP1_0051	PSLT056
SLP1_0050	PSLT057
SLP1_0049	PSLT059
SLP1_0048	PSLT060
SLP1_0045	PSLT061
SLP1_0044	PSLT062
SLP1_0043	PSLT063
SLP1_0042	PSLT064
SLP1_0041	PSLT066
SLP1_0040	PSLT067
SLP1_0039	PSLT068
SLP1_0038	PSLT069
SLP1_0037	PSLT070
SLP1_0036	PSLT072
SLP1_0035	PSLT073
SLP1_0034	PSLT075
SLP1_0033	PSLT076
SLP1_0032	PSLT077
SLP1_0031	PSLT078
SLP1_0030	PSLT079
SLP1_0029	PSLT080
SLP1_0028	PSLT081
SLP1_0027	PSLT082
SLP1_0026	PSLT083
SLP1_0025	PSLT084
SLP1_0024	PSLT085
SLP1_0023	PSLT087
SLP1_0022	PSLT088
SLP1_0021	PSLT089
SLP1_0020	PSLT091
SLP1_0019	PSLT092
SLP1_0018	PSLT093
SLP1_0017	PSLT094
SLP1_0016	PSLT095
SLP1_0015	PSLT096
SLP1_0014	PSLT097
SLP1_0013	PSLT098
SLP1_0012	PSLT099
SLP1_0011	PSLT100
SLP1_0010	PSLT101
SLP1_0009	PSLT102
SLP1_0008	PSLT103
SLP1_0004	PSLT105
SLP1_0003	PSLT108
SLP1_0002	PSLT110
SLP1_0001	PSLT111
SL1344_0001	STM0001
SL1344_0002	STM0002
SL1344_0003	STM0003
SL1344_0004	STM0004
SL1344_0005	STM0005
SL1344_0006	STM0006
SL1344_0007	STM0007
SL1344_0008	STM0008
SL1344_0009	STM0009
SL1344_0010	STM0010
SL1344_0011	STM0011
SL1344_0012	STM0012
SL1344_0013	STM0013
SL1344_0014	STM0014
SL1344_0015	STM0015
SL1344_0016	STM0016
SL1344_0017	STM0017
SL1344_0018	STM0018
SL1344_0019	STM0019
SL1344_0020	STM0020
SL1344_0021	STM0021
SL1344_0022	STM0022
SL1344_0023	STM0023
SL1344_0024	STM0024
SL1344_0025	STM0025
SL1344_0026	STM0026
SL1344_0027	STM0027
SL1344_0028	STM0028
SL1344_0030	STM0029
SL1344_0031	STM0030
SL1344_0032	STM0031
SL1344_0033	STM0032
SL1344_0034	STM0033
SL1344_0035	STM0034
SL1344_0036	STM0035
SL1344_0037	STM0036
SL1344_0038	STM0037
SL1344_0039	STM0038
SL1344_0040	STM0039
SL1344_0041	STM0040
SL1344_0042	STM0041
SL1344_0043	STM0042
SL1344_0044	STM0043
SL1344_0045	STM0044
SL1344_0046	STM0045
SL1344_0047	STM0046
SL1344_0048	STM0047
SL1344_0049	STM0048
SL1344_0050	STM0049
SL1344_0051	STM0050
SL1344_0052	STM0051
SL1344_0053	STM0052
SL1344_0054	STM0053
SL1344_0055	STM0054
SL1344_0056	STM0055
SL1344_0057	STM0056
SL1344_0058	STM0057
SL1344_0059	STM0058
SL1344_0060	STM0059
SL1344_0061	STM0060
SL1344_0062	STM0061
SL1344_0063	STM0062
SL1344_0064	STM0063
SL1344_0065	STM0064
SL1344_0066A	STM0065
SL1344_0067	STM0066
SL1344_0068	STM0067
SL1344_0069	STM0068
SL1344_0070	STM0069
SL1344_0071	STM0070
SL1344_0072	STM0071
SL1344_0073	STM0072
SL1344_0074	STM0073
SL1344_0075	STM0074
SL1344_0076	STM0075
SL1344_0077	STM0076
SL1344_0078	STM0077
SL1344_0079	STM0078
SL1344_0080	STM0079
SL1344_0081	STM0080
SL1344_0082	STM0081
SL1344_0083	STM0082
SL1344_0084	STM0084
SL1344_0086	STM0085
SL1344_0087	STM0086
SL1344_0088	STM0087
SL1344_0089	STM0088
SL1344_0090	STM0089
SL1344_0091	STM0090
SL1344_0092	STM0091
SL1344_0093	STM0092
SL1344_0094	STM0093
SL1344_0095	STM0094
SL1344_0096	STM0095
SL1344_0097	STM0096
SL1344_0098	STM0097
SL1344_0099	STM0098
SL1344_0100	STM0100
SL1344_0101	STM0101
SL1344_0102	STM0102
SL1344_0103	STM0103
SL1344_0104	STM0104
SL1344_0105	STM0105
SL1344_0106	STM0106
SL1344_0107	STM0107
SL1344_0108	STM0108
SL1344_0109	STM0109
SL1344_0110	STM0110
SL1344_0111	STM0111
SL1344_0112	STM0112
SL1344_0113	STM0113
SL1344_0115	STM0115
SL1344_0116	STM0116
SL1344_0117	STM0117
SL1344_0118	STM0118
SL1344_0119	STM0119
SL1344_0120	STM0120
SL1344_0121	STM0121
SL1344_0122	STM0122
SL1344_0123	STM0123
SL1344_0124	STM0124
SL1344_0125	STM0125
SL1344_0126	STM0126
SL1344_0127	STM0127
SL1344_0128	STM0128
SL1344_0129	STM0129
SL1344_0130	STM0130
SL1344_0132	STM0132
SL1344_0133	STM0133
SL1344_0134	STM0134
SL1344_0135	STM0135
SL1344_0136	STM0136
SL1344_0137	STM0137
SL1344_0138	STM0138
SL1344_0139	STM0139
SL1344_0140	STM0140
SL1344_0141	STM0141
SL1344_0142	STM0142
SL1344_0143	STM0143
SL1344_0144	STM0144
SL1344_0145	STM0145
SL1344_0146	STM0146
SL1344_0147	STM0147
SL1344_0148	STM0148
SL1344_0149	STM0149
SL1344_0150	STM0150
SL1344_0151	STM0151
SL1344_0152	STM0152
SL1344_0153	STM0153
SL1344_0154	STM0154
SL1344_0155	STM0155
SL1344_0156	STM0156
SL1344_0157	STM0157
SL1344_0159	STM0158
SL1344_0160	STM0159
SL1344_0161	STM0160
SL1344_0162	STM0161
SL1344_0163	STM0162
SL1344_0164	STM0163
SL1344_0165	STM0164
SL1344_0166	STM0165
SL1344_0167	STM0166
SL1344_0168	STM0167
SL1344_0169	STM0168
SL1344_0170	STM0169
SL1344_0171	STM0170
SL1344_0172	STM0171
SL1344_0173	STM0172
SL1344_0174	STM0173
SL1344_0175	STM0174
SL1344_0176	STM0175
SL1344_0177	STM0176
SL1344_0178	STM0177
SL1344_0179	STM0178
SL1344_0180	STM0179
SL1344_0181	STM0180
SL1344_0182	STM0181
SL1344_0183	STM0182
SL1344_0184	STM0183
SL1344_0185	STM0184
SL1344_0186	STM0185
SL1344_0187	STM0186
SL1344_0188	STM0187
SL1344_0189	STM0188
SL1344_0190	STM0189
SL1344_0191	STM0190
SL1344_0192	STM0191
SL1344_0193	STM0192
SL1344_0194	STM0193
SL1344_0195	STM0194
SL1344_0196	STM0195
SL1344_0197	STM0196
SL1344_0198	STM0197
SL1344_0199	STM0198
SL1344_0200	STM0199
SL1344_0201	STM0200
SL1344_0202	STM0201
SL1344_0203	STM0202
SL1344_0204	STM0203
SL1344_0205	STM0204
SL1344_0206	STM0205
SL1344_0207	STM0206
SL1344_0208	STM0207
SL1344_0209	STM0208
SL1344_0210	STM0209
SL1344_0211	STM0210
SL1344_0212	STM0211
SL1344_0213	STM0212
SL1344_0214	STM0213
SL1344_0215	STM0214
SL1344_0216	STM0215
SL1344_0217	STM0216
SL1344_0218	STM0217
SL1344_0219	STM0218
SL1344_0220	STM0219
SL1344_0221	STM0220
SL1344_0222	STM0221
SL1344_0223	STM0222
SL1344_0224	STM0223
SL1344_0225	STM0224
SL1344_0226	STM0225
SL1344_0227	STM0226
SL1344_0228	STM0227
SL1344_0229	STM0228
SL1344_0230	STM0229
SL1344_0231	STM0230
SL1344_0232	STM0231
SL1344_0233	STM0232
SL1344_0234	STM0233
SL1344_0235	STM0234
SL1344_0236	STM0235
SL1344_0237	STM0236
SL1344_0238	STM0237
SL1344_0239	STM0238
SL1344_0240	STM0239
SL1344_0241	STM0240
SL1344_0242	STM0241
SL1344_0243	STM0242
SL1344_0244	STM0243
SL1344_0245	STM0244
SL1344_0246	STM0245
SL1344_0247	STM0246
SL1344_0248	STM0247
SL1344_0249	STM0248
SL1344_0250	STM0255
SL1344_0251	STM0256
SL1344_0252	STM0257
SL1344_0253	STM0258
SL1344_0254	STM0259
SL1344_0255	STM0260
SL1344_0256	STM0261
SL1344_0257	STM0262
SL1344_0258	STM0263
SL1344_0259	STM0264
SL1344_0260	STM0266
SL1344_0261	STM0267
SL1344_0262	STM0268
SL1344_0263	STM0269
SL1344_0264	STM0270
SL1344_0265	STM0271
SL1344_0266	STM0272
SL1344_0267	STM0273
SL1344_0268	STM0274
SL1344_0270	STM0275
SL1344_0271	STM0276
SL1344_0272	STM0277
SL1344_0273	STM0278
SL1344_0274	STM0279
SL1344_0275	STM0280
SL1344_0276	STM0281
SL1344_0277	STM0282
SL1344_0278	STM0283
SL1344_0279	STM0284
SL1344_0280	STM0285
SL1344_0281	STM0286
SL1344_0282	STM0287
SL1344_0283	STM0288
SL1344_0284	STM0289
SL1344_0285	STM0290
SL1344_0286B	STM0292
SL1344_0288	STM0293
SL1344_0289	STM0294
SL1344_0291	STM0295
SL1344_0293	STM0297
SL1344_0295	STM0299
SL1344_0296	STM0300
SL1344_0297	STM0301
SL1344_0298	STM0302
SL1344_0299	STM0303
SL1344_0300	STM0304
SL1344_0301	STM0305
SL1344_0302	STM0306
SL1344_0303	STM0307
SL1344_0304	STM0308
SL1344_0305	STM0309
SL1344_0306	STM0310
SL1344_0307	STM0311
SL1344_0308	STM0312
SL1344_0309	STM0313
SL1344_0310	STM0314
SL1344_0311	STM0315
SL1344_0312	STM0316
SL1344_0313	STM0317
SL1344_0314	STM0318
SL1344_0315	STM0319
SL1344_0316	STM0320
SL1344_0317	STM0321
SL1344_0318	STM0322
SL1344_0319	STM0325
SL1344_0320	STM0326
SL1344_0322	STM0327
SL1344_0323	STM0328
SL1344_0324	STM0329
SL1344_0325	STM0330
SL1344_0326	STM0331
SL1344_0327	STM0332
SL1344_0328	STM0333
SL1344_0329	STM0334
SL1344_0330	STM0335
SL1344_0331	STM0336
SL1344_0332	STM0337
SL1344_0333	STM0338
SL1344_0334	STM0339
SL1344_0335	STM0340
SL1344_0336	STM0341
SL1344_0337	STM0342
SL1344_0338	STM0343
SL1344_0339	STM0344
SL1344_0340	STM0345
SL1344_0341	STM0346
SL1344_0342	STM0347
SL1344_0343	STM0348
SL1344_0344	STM0349
SL1344_0345	STM0350
SL1344_0346	STM0351
SL1344_0347	STM0352
SL1344_0348	STM0353
SL1344_0349	STM0354
SL1344_0350	STM0355
SL1344_0351	STM0356
SL1344_0352	STM0357
SL1344_0353	STM0358
SL1344_0354	STM0359
SL1344_0355	STM0360
SL1344_0356	STM0361
SL1344_0357	STM0362
SL1344_0358	STM0363
SL1344_0359	STM0364
SL1344_0360	STM0365
SL1344_0361	STM0366
SL1344_0362	STM0367
SL1344_0363	STM0368
SL1344_0364	STM0369
SL1344_0365	STM0370
SL1344_0366	STM0371
SL1344_0367	STM0372
SL1344_0368	STM0373
SL1344_0369	STM0374
SL1344_0370	STM0375
SL1344_0371	STM0376
SL1344_0372	STM0377
SL1344_0373	STM0378
SL1344_0374	STM0379
SL1344_0375	STM0380
SL1344_0376	STM0381
SL1344_0377	STM0382
SL1344_0378	STM0383
SL1344_0379	STM0384
SL1344_0380	STM0385
SL1344_0381	STM0386
SL1344_0382	STM0387
SL1344_0383	STM0388
SL1344_0384	STM0389
SL1344_0385	STM0390
SL1344_0386	STM0391
SL1344_0387	STM0392
SL1344_0388	STM0393
SL1344_0389	STM0394
SL1344_0390	STM0395
SL1344_0391	STM0396
SL1344_0392	STM0397
SL1344_0393	STM0398
SL1344_0394	STM0399
SL1344_0395	STM0400
SL1344_0396	STM0401
SL1344_0397	STM0402
SL1344_0398	STM0403
SL1344_0399	STM0404
SL1344_0400	STM0405
SL1344_0401	STM0406
SL1344_0402	STM0407
SL1344_0403	STM0408
SL1344_0404	STM0409
SL1344_0405	STM0410
SL1344_0406	STM0411
SL1344_0407	STM0413
SL1344_0408	STM0414
SL1344_0409	STM0415
SL1344_0410	STM0416
SL1344_0411	STM0417
SL1344_0412	STM0418
SL1344_0413	STM0419
SL1344_0414	STM0420
SL1344_0415	STM0421
SL1344_0416	STM0422
SL1344_0417	STM0423
SL1344_0418	STM0424
SL1344_0419	STM0425
SL1344_0420	STM0426
SL1344_0421	STM0427
SL1344_0422	STM0428
SL1344_0423	STM0429
SL1344_0424	STM0430
SL1344_0425	STM0431
SL1344_0426	STM0432
SL1344_0427	STM0433
SL1344_0428	STM0434
SL1344_0429	STM0435
SL1344_0430	STM0436
SL1344_0431	STM0437
SL1344_0432	STM0438
SL1344_0433	STM0439
SL1344_0434	STM0440
SL1344_0435	STM0441
SL1344_0436	STM0442
SL1344_0437	STM0443
SL1344_0438	STM0444
SL1344_0439	STM0445
SL1344_0440	STM0446
SL1344_0441	STM0447
SL1344_0442	STM0448
SL1344_0443	STM0449
SL1344_0444	STM0450
SL1344_0445	STM0451
SL1344_0446	STM0452
SL1344_0447	STM0453
SL1344_0448	STM0454
SL1344_0449	STM0455
SL1344_0450	STM0456
SL1344_0451	STM0457
SL1344_0452	STM0458
SL1344_0453	STM0459
SL1344_0454	STM0460
SL1344_0455	STM0461
SL1344_0456	STM0462
SL1344_0457	STM0463
SL1344_0458	STM0464
SL1344_0459	STM0465
SL1344_0460	STM0466
SL1344_ncRNA_37	STM0467
SL1344_0461	STM0468
SL1344_0462	STM0469
SL1344_0464	STM0471
SL1344_0465	STM0472
SL1344_0466	STM0473
SL1344_0467	STM0474
SL1344_0468	STM0475
SL1344_0469	STM0476
SL1344_0470	STM0477
SL1344_0471	STM0478
SL1344_0472	STM0479
SL1344_0473	STM0480
SL1344_0474	STM0481
SL1344_0476	STM0483
SL1344_0477	STM0484
SL1344_0478	STM0485
SL1344_0479	STM0486
SL1344_0480	STM0487
SL1344_0481	STM0488
SL1344_0482	STM0489
SL1344_0483	STM0490
SL1344_0484	STM0491
SL1344_0485	STM0492
SL1344_0486	STM0493
SL1344_0487	STM0494
SL1344_0488	STM0495
SL1344_0489	STM0496
SL1344_0490	STM0497
SL1344_0491	STM0498
SL1344_0492	STM0499
SL1344_0493	STM0500
SL1344_0494	STM0501
SL1344_0495	STM0502
SL1344_0496	STM0503
SL1344_0497	STM0504
SL1344_0498	STM0505
SL1344_0499	STM0506
SL1344_0500	STM0507
SL1344_0501	STM0508
SL1344_0502	STM0509
SL1344_0503	STM0510
SL1344_0504	STM0511
SL1344_0505	STM0512
SL1344_0506	STM0513
SL1344_0507	STM0514
SL1344_0508	STM0515
SL1344_0509	STM0516
SL1344_0510	STM0517
SL1344_0511	STM0518
SL1344_0512	STM0519
SL1344_0513	STM0520
SL1344_0515	STM0522
SL1344_0516	STM0523
SL1344_0517	STM0524
SL1344_0518	STM0525
SL1344_0519	STM0526
SL1344_0520	STM0527
SL1344_0521	STM0528
SL1344_0522	STM0529
SL1344_0523	STM0530
SL1344_0524	STM0531
SL1344_0525	STM0532
SL1344_0526	STM0533
SL1344_0527	STM0534
SL1344_0528	STM0535
SL1344_0529	STM0536
SL1344_0530	STM0537
SL1344_0531	STM0538
SL1344_0532	STM0539
SL1344_0533	STM0540
SL1344_0534	STM0541
SL1344_0535	STM0542
SL1344_0536	STM0543
SL1344_0537	STM0544
SL1344_0538	STM0545
SL1344_0539	STM0546
SL1344_0540	STM0547
SL1344_0541	STM0548
SL1344_0542	STM0549
SL1344_0543	STM0550
SL1344_0544	STM0551
SL1344_0545	STM0552
SL1344_0547	STM0557
SL1344_0548	STM0558
SL1344_0549	STM0559
SL1344_0550	STM0561
SL1344_0550A	STM0562
SL1344_0551	STM0563
SL1344_0552	STM0564
SL1344_0553	STM0565
SL1344_0554	STM0566
SL1344_0555	STM0567
SL1344_0556	STM0568
SL1344_0557	STM0569
SL1344_0558	STM0570
SL1344_0559	STM0571
SL1344_0560	STM0572
SL1344_0561	STM0573
SL1344_0562	STM0574
SL1344_0563	STM0575
SL1344_0564	STM0576
SL1344_0565	STM0577
SL1344_0566	STM0578
SL1344_0567	STM0579
SL1344_0568	STM0580
SL1344_0569	STM0581
SL1344_0570	STM0582
SL1344_0571	STM0583
SL1344_0572	STM0584
SL1344_0573	STM0585
SL1344_0574	STM0586
SL1344_0575	STM0587
SL1344_0576	STM0588
SL1344_0577	STM0589
SL1344_0578	STM0590
SL1344_0579	STM0591
SL1344_0580	STM0592
SL1344_0581	STM0593
SL1344_0582	STM0594
SL1344_0583	STM0595
SL1344_0584	STM0596
SL1344_0585	STM0597
SL1344_0586	STM0598
SL1344_0587	STM0599
SL1344_0588	STM0600
SL1344_0589	STM0601
SL1344_0590	STM0602
SL1344_0591	STM0603
SL1344_0592	STM0604
SL1344_0593	STM0605
SL1344_0594	STM0606
SL1344_0595	STM0607
SL1344_0596	STM0608
SL1344_0597	STM0609
SL1344_0598	STM0610
SL1344_0599	STM0611
SL1344_0600	STM0612
SL1344_0601	STM0613
SL1344_0602	STM0614
SL1344_0603	STM0615
SL1344_0604	STM0616
SL1344_0605	STM0617
SL1344_0606	STM0618
SL1344_0607	STM0619
SL1344_0608	STM0620
SL1344_0609	STM0621
SL1344_0610	STM0622
SL1344_0611	STM0623
SL1344_0612	STM0624
SL1344_0613	STM0625
SL1344_0614	STM0626
SL1344_0615	STM0627
SL1344_0616	STM0628
SL1344_0617	STM0629
SL1344_0618	STM0630
SL1344_0619	STM0631
SL1344_0620	STM0632
SL1344_0621	STM0633
SL1344_0622	STM0634
SL1344_0623	STM0635
SL1344_0624	STM0636
SL1344_0625	STM0637
SL1344_0627	STM0639
