Colgan_2016_barA_sirA_dn	Genes down-regulated in barA-sirA mutant
Colgan_2016_dam_dn	Genes down-regulated in dam mutant
Colgan_2016_dam_up	Genes up-regulated in dam mutant
Colgan_2016_fliZ_dn	Genes down-regulated in fliZ mutant
Colgan_2016_fliZ_up	Genes up-regulated in fliZ mutant
Colgan_2016_fur_dn	Genes down-regulated in fur mutant
Colgan_2016_fur_up	Genes up-regulated in fur mutant
Colgan_2016_hfq_dn	Genes down-regulated in hfq mutant
Colgan_2016_hfq_up	Genes up-regulated in hfq mutant
Colgan_2016_hilA_dn	Genes down-regulated in hilA mutant
Colgan_2016_hilC_dn	Genes down-regulated in hilC mutant
Colgan_2016_hilC_up	Genes up-regulated in hilC mutant
Colgan_2016_hilD_ESP_dn	Genes down-regulated in hilD mutant in early stationary phase
Colgan_2016_hilD_ESP_up	Genes up-regulated in hilD mutant in early stationary phase
Colgan_2016_hilD_IEP_dn	Genes down-regulated in hilD mutant mid-exponential phase
Colgan_2016_hilE_dn	Genes down-regulated in hilE mutant
Colgan_2016_ompR_envZ_dn	Genes down-regulated in ompR-envZ mutant
Colgan_2016_ompR_envZ_up	Genes up-regulated in ompR-envZ mutant
Colgan_2016_phoPQ_dn	Genes down-regulated in phoPQ mutant
Colgan_2016_phoPQ_up	Genes up-regulated in phoPQ mutant
Colgan_2016_rpoS_dn	Genes down-regulated in rpoS mutant
Colgan_2016_rpoS_up	Genes up-regulated in rpoS mutant
Colgan_2016_slyA_dn	Genes down-regulated in slyA mutant
Colgan_2016_slyA_up	Genes up-regulated in slyA mutant
Colgan_2016_ssrA_dn	Genes down-regulated in ssrA mutant
Colgan_2016_ssrA_up	Genes up-regulated in ssrA mutant
Colgan_2016_ssrB_dn	Genes down-regulated in ssrB mutant
Colgan_2016_ssrB_up	Genes up-regulated in ssrB mutant
D23_25C	D23580 genes up-regulated upon 25C shock
D23_Bile	D23580 genes up-regulated upon bile acid shock
D23_EEP	D23580 genes up-regulated in early exponential phase
D23_ESP	D23580 genes up-regulated in early stationary phase
D23_InSPI2	D23580 genes up-regulated under InSPI2 conditions
D23_LEP	D23580 genes up-regulated in late exponential phase
D23_Low_Fe	D23580 genes up-regulated upon low Fe shock
D23_LSP	D23580 genes up-regulated in late stationary phase
D23_Macrophage	D23580 genes up-regulated in macrophages
D23_MEP	D23580 genes up-regulated in mid-exponential phase
D23_NaCl	D23580 genes up-regulated upon NaCl shock
