474_ID	SL1344_ID	LT2_ID	Gene_name	Gene_type	Location
SL1344_ncRNA_149	NONE	NONE	STnc1540	ncRNA	chromosome
SL1344_ncRNA_9	NONE	NONE	DapZ	ncRNA	chromosome
SL1344_ncRNA_127	NONE	STM1985	DsrA	ncRNA	chromosome
SL1344_ncRNA_232	NONE	NONE	RyhB-1	ncRNA	chromosome
SL1344_ncRNA_239	NONE	NONE	STnc710	ncRNA	chromosome
SL1344_ncRNA_172	NONE	NONE	STnc1400	ncRNA	prophage
SL1344_ncRNA_276	NONE	NONE	STnc1740	ncRNA	chromosome
SL1344_ncRNA_86	NONE	NONE	RyhB-2	ncRNA	chromosome
SL1344_2863	SL2863	STM2884	sipC	CDS	chromosome
SL1344_2367	SL2367	STM2399	pgtP	CDS	chromosome
SL1344_ncRNA_79	NONE	NONE	STnc520	ncRNA	chromosome
SL1344_ncRNA_94	NONE	STM1363	RprA	ncRNA	chromosome
SL1344_2850	SL2850	STM2870	orgA	CDS	chromosome
SL1344_2868	SL2868	STM2889	spaQ	CDS	chromosome
SL1344_ncRNA_253	NONE	NONE	Spf	ncRNA	chromosome
SL1344_0504	SL0504	STM0511	sfbB	CDS	chromosome
SL1344_1522	SL1522	STM1591	ydcZ	CDS	chromosome
SL1344_0780	SL0780	STM0804	moaC	CDS	chromosome
SL1344_2924	SL2924	STM2945	sopD	CDS	chromosome
SL1344_ncRNA_192	NONE	NONE	GcvB	ncRNA	chromosome
SL1344_ncRNA_270	NONE	NONE	STnc630	ncRNA	chromosome
SL1344_2376	SL2376	STM2408	mntH	CDS	chromosome
SL1344_ncRNA_222	NONE	NONE	STnc3060	ncRNA	chromosome
SL1344_3252	SL3252	STM3279	mtr	CDS	chromosome
SL1344_4483	SL4483	STM4552	yjjZ	CDS	chromosome
SL1344_1030	SL1030	STM1091	sopB	CDS	chromosome
SL1344_0505	SL0505	STM0512	sfbC	CDS	chromosome
SL1344_2844	SL2844	STM2864	sitD	CDS	chromosome
SL1344_2864	SL2864	STM2885	sipB	CDS	chromosome
SL1344_ncRNA_61	NONE	NONE	STnc3350	ncRNA	chromosome
SL1344_ncRNA_183	NONE	NONE	STnc3080	ncRNA	chromosome
SL1344_2791	SL2791	STM2806	nrdI	CDS	chromosome
SL1344_ncRNA_134	NONE	NONE	STnc3680	ncRNA	prophage
SL1344_ncRNA_230	NONE	NONE	STnc760	ncRNA	chromosome
SL1344_1308	SL1308	STM1374	ynhA	CDS	chromosome
SL1344_4273	SL4273	STM4336	ecnB	CDS	chromosome
SL1344_ncRNA_262	NONE	NONE	OxyS	ncRNA	chromosome
SL1344_0503	SL0503	STM0510	sfbA	CDS	chromosome
SL1344_0848	SL0848	STM0872	grxA	CDS	chromosome
SL1344_2852	SL2852	STM2872	prgJ	CDS	chromosome
SL1344_ncRNA_1	NONE	NONE	tpke11	ncRNA	chromosome
SL1344_ncRNA_136	NONE	NONE	STnc3700	ncRNA	chromosome
SL1344_ncRNA_198	NONE	NONE	SsrS	ncRNA	chromosome
SL1344_2759	SL2759	STM2774	iroC	CDS	chromosome
SL1344_ncRNA_53	NONE	NONE	STnc980	ncRNA	chromosome
SL1344_ncRNA_138	NONE	NONE	STnc700	ncRNA	chromosome
SL1344_ncRNA_178	NONE	NONE	STnc4230	ncRNA	chromosome
SLP1_0101	NONE	PSLT004	repA3	CDS	plasmid
SL1344_1006	SL1006	STM1066	rmf	CDS	chromosome
SL1344_2851	SL2851	STM2871	prgK	CDS	chromosome
SL1344_0586	SL0586	STM0598	entA	CDS	chromosome
SL1344_2762	SL2762	STM2777	iroN	CDS	chromosome
SL1344_3848	SL3848	STM3881	rbsD	CDS	chromosome
SL1344_1068	SL1068	STM1130	STM1130	CDS	chromosome
SL1344_2874	SL2874	STM2895	invB	CDS	chromosome
SL1344_4370	SL4370	STM4440	STM4440	CDS	chromosome
SL1344_ncRNA_147	NONE	NONE	STnc3010	ncRNA	chromosome
SL1344_1736	SL1736	STM1808	STM1808	CDS	chromosome
SL1344_2859	SL2859	STM2879	sicP	CDS	chromosome
SL1344_0587	SL0587	STM0599	ybdB	CDS	chromosome
SL1344_1067	SL1067	STM1129	STM1129	CDS	chromosome
